Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
The Big 3,Tye Banks,9.2,"Bo Alambis, Ampston Hews, Brian Isley",Liquor House Comedy presents the Big 3 featuring stand up comedians Brian Isley (New York's Apollo Theater) Bo Alambis and Ampston Hews. None of these three comedians are a like. They all bring a unique style of stand up comedy.,46m
Moonboy,Christopher Logan,No info,Christopher Logan,"Moonboy is a catalyst in other people's lives to grab onto joy. Through a series of vignettes, his unabashed joy sparks positive changes in the lives of the people he encounters.",No info
My Cousin,Jan Kounen,5.3,"Fabrice Roger-Lacan, Jan Kounen, Vincent Lindon","The CEO of a big international wine company must meet again with his clumsy cousin to renew the contract allowing him to manage the brand, going down a rabbit hole of adventures and catastrophes in the process.",1h 44m
Whenever You're Ready,Jenna Harder,No info,Jenna Harder,A darkly comedic look at a day in the life of a struggling actor and the unique ways she deals with the pressures of the industry.,No info
1 Euro/9 Minutos,Sara Muñoz BautistaRebeca Lasheras,No info,"Sara Muñoz Bautista, Rebeca Lasheras",,12m
Pajama Party Work Night,Patrick Neff,9.2,Patrick Neff,Jayne and her team are assigned to rework the all-important Wellington Proposal by 6:00am. Setbacks and complications result in a hilarious race to the finish line.,16m
JerryMaya's Detective Agency: The Secret of the Train Robber,Moa Gammel,5.2,"Henrik Engström, Mattias Grosin, Martin Widmark",Lasse and Maja have had their detective agency shut down by the police chief when a customer ask for help to prove her father is innocent of the train robbery he was convicted of. Lasse and Maja now see their great chance to show off.,1h 22m
James & Pat & Dave,Theodore Boborol,4.6,"Daisy Cayanan, Marionne Dominique Mancol",It follows Pat Reyes who is a hardworking hostel manager and online vegetable seller who trains her boss' hardheaded and exiled grandson as a hostel employee.,1h 47m
Guest House,Sam Macaroni,4.4,"Sam Macaroni, Sean Bishop, Troy Duffy","An newly engaged couple's buys their dream house but it comes with one small catch, a perennial party animal who lives in the guesthouse.",1h 24m
Curveball,Johannes Naber,6.9,"Oliver Keidel, Johannes Naber","The grotesque, at times even surreal, true story of how the Iraq war was started based on nothing but fake intelligence and the involvement of the German government and the German secret service.",1h 48m
Girlfriend's reunited,Robert L. Parker III,3.5,"Crystal Harris, Robert L. Parker III","Four single women reunite together after not seeing each other in so many years. When they meet they discover that they haven't changed much. While together they have wild parties, drinking, dancing and other fun activities. Starring Kaymecia Garvins, Marie Richards, Robin Lee Nina Holley, Ronrico Albright and Tony Terry.",1h 51m
Dropped,Elena Altman,No info,John Romanos,"Money Bags, Guns, Baseball Bats... A Robbery Gone Bad but Who's Fault Is It?",42m
Fantasy Pony,Caitlin Carleton,8.6,Caroline Newton,The story of three horse girls as they prepare for the annual Calypso Township Model Horse Competition.,19m
HAM: A Musical Memoir,Andrew Putschoegl,8.7,Sam Harris,"A live recording of Sam Harris's award-winning one-man musical performance, tracing his rise to stage stardom.",1h 53m
Días Negros,Marlon Morales,No info,Marlon Morales,,5m
Rosa's Wedding,Icíar Bollaín,6.4,"Icíar Bollaín, Alicia Luna, Lina Badenes","About to turn 45, Rosa realises that she's always lived her life to serve everyone else, so she decides to leave it all behind, take charge of her life, and fulfill her dream of starting her own business",1h 37m
