Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
La fête espagnole,Germaine Dulac,7.0,Louis Delluc,"Coveted by two different men, a woman turns to a third man instead.",1h 7m
Sha Ou,Nuanxing Zhang,6.6,"Tuo Li, Nuanxing Zhang","Sha Ou is a volleyball player and works hard against her injuries resulting from training. In spite of her defeat in an international competition and the the death of her boyfriend, she insists on her training.",1h 24m
Mariette in Ecstasy,John Bailey,7.3,Ron Hansen,Set in a turn-of-the-century religious community about a nun who has recently taken her vows.,1h 41m
Husband and Wife,No info,5.9,Ron Hansen,Li Ke and Zhang Ying marry and overcome difficulties working in newly liberated Shanghai in 1947.,No info
Motherless Brooklyn,Edward Norton,6.8,"Edward Norton, Jonathan Lethem","In 1950s New York, Lionel, a private detective with Tourette syndrome, sets out to uncover the mystery behind his mentor and only friend Frank's murder. Scouring the jazz clubs and slums of Brooklyn, he soon uncovers a web of secrets.",2h 24m
Danger Close: The Battle of Long Tan,Kriv Stenders,6.8,"Stuart Beattie, James Nicholas, Karel Segers","In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",1h 58m
The Last Full Measure,Todd Robinson,6.8,Todd Robinson,"Thirty-four years after his death, Airman William H. ""Pits"" Pitsenbarger is awarded the nation's highest military honor for his actions on the battlefield.",1h 56m
The Dirt,Jeff Tremaine,7.0,"Rich Wilkes, Amanda Adelson, Tommy Lee","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",1h 47m
Dirt Music,Gregor Jordan,5.3,"Jack Thorne, Tim Winton",The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.,1h 45m
Bolden,Dan Pritzker,5.6,"Dan Pritzker, David Rothschild","A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",1h 48m
Witness to Murder,George Salcedo,No info,George Salcedo,"A young man struggles to deal with his father's life sentence in prison. As a result of this, he goes after the men who got his father locked up.",4m
Good Friends,No info,No info,George Salcedo,,No info
Voiceless,Natalia MontecinosCristian Costa,No info,"Cristian Costa, Natalia Montecinos","MIA, who suddenly stopped talking, needs to find her lost words in order to reveal the truth behind crimes she witnessed.",No info
Ludere,Ryan Henry Knight,No info,Ryan Henry Knight,A girl haunted by grief is reconnected with her estranged sister as they come to terms with the dark truth behind their distanced relationship.,16m
Child of Wisdom,Valeri Lilov,No info,Valeri Lilov,"In an old caravan, a lone mentally ill mother tries to fight her own demons while her little daughter, never seen outside world, attempts to communicate and help her out.",No info
Atonement,Paul Tully,No info,Paul Tully,,No info
Pattabhiraman,Kannan Thamarakkulam,6.4,Dinesh Pallath,It is the story of a warrior against food adulteration and challenges he faces because of that.,2h 19m
Facing Life,Jon Perry,No info,"Adam Masnyk, Jon Perry","After communication ceases, Kevin breaks out of prison to find his lifelong girlfriend, but is met with some unfortunate news.",No info
Ali the Blind Boxer,Bijoy BanerjeeKaushik Mondal,No info,Shabir Sheikh,"Ali wants to be a boxer, only he is blind. In the eyes of the sighted his ambitions are impossible. But Ali is not concerned about their opinions or approval, his dream is all that matters.",No info
For Ellis,C. Nathaniel Brown,No info,"C. Nathaniel Brown, Kenya Hendricks","When love is warming everyone's heart around the office, Ellis seems to be getting the cold shoulder. But the office won't be the same come Friday.",10m
The Veil Removed,Branden J. Stanley,9.8,"Gregory Krajewski, Christopher Magruder, Julie Nelson","A supernatural thriller about where heaven and earth meet. A captivating short film about the coming together of heaven and earth, The Veil Removed depicts the depth and power of the Mass as seen by saints and mystics, revealed by scripture and explored in the Catechism of the Catholic Church.",7m
Paradise,Rodney Jackson,4.7,Tavares M. Wilson,Jacob and Mia Patterson had a seemingly perfect life until one decision has them questioning everything that's happened between them.,1h 18m
Riviera,Jason Fragale,8.6,"Jason Fragale, Christopher Fragale","Raffi, still plagued by grief from his mother's death, has his friendship tested by terminally ill David, who begs for help during his dying days.",17m
Destiny,Young Man Kang,No info,"Heaven Choi, Young Man Kang",,17m
Along The Line,Ryan Berry,No info,Alexandera Yetman,A woman decides whether to heed the signs the universe is sending her about her desires.,11m
Chadwick Manor,Lauren Kelly,No info,Lauren Kelly,Two slaves are put to the test when their owner forces them to fight each other.,11m
Controlling Intentions,No info,No info,Lauren Kelly,,No info
The Chair,Maverick Knox,No info,Maverick Knox,,6m
FantasyLand,Nathaniel Shields,No info,Nathaniel Shields,A young girl moves to Hollywood against her father's wishes in hopes of becoming a famous actress. Will she finally gain his support?,14m
He's My Daddy Too,Aljoyus Eccles,No info,Aljoyus Eccles,Jaran who is the outside son for Mr. Howard is struggling with the fact of not being accepted by his own brothers and sisters. Little do he know the Howards has their own secrets and issues they are trying to cover up. Will Jaran ever get the chance to be accepted by his family before its too late or will their secrets and issues be everyone's demise.,No info
El Barber,Pau Domingo,No info,"Àlex Clusellas, Jaume Cortada, Gabriel Di Pastena",,No info
Shakira,Noémie Merlant,6.4,Noémie Merlant,"While trying to save her family from a return to the street, Shakira, a young gypsy woman, meets Marius, a member of a robber gang.",27m
Barof 2019,Sudip Chakraborty,6.5,Debal Guha Roy,"Subham Biswas ""Shataf Figar"" a deft mountain climber goes missing on his dream expedition to climb the Everest. His body couldn't be rescued because of the harsh weather. The absence of Subham creates a void in the life of his wife Mrittika ""Indrani Halder"" and his mother ""Swatilekha Sengupta"". The film revolves round the strained relationship between the two women in... Read all",1h 41m
"In Their Own Words, Billy the Kid & The Lincoln County War",Michael Anthony Giudicissi,5.2,Michael Anthony Giudicissi,"Billy the Kid, Pat Garrett, and 14 of his friends and enemies are interviewed about The Kid's life, death, and deadly participation in the Lincoln County War.",1h 44m
Lucky Grandma,Sasie Sealy,6.3,"Banban Cheng, Sasie Sealy","Set in New York City's Chinatown, an ornery, chain-smoking Chinese grandma goes all in at the casino, landing herself on the wrong side of luck - and in the middle of a gang war.",1h 27m
Passage,Quentin Persia,No info,"Quentin Persia, Pierre Sabrou",,13m
The Silver Lining,Denis McArdle,No info,"Denis Mc, Ardle",A young boy wants a timeworn trumpet from an irascible Antique shop owner.,16m
Heaven,Lisa SanchezMichelle Sanchez,No info,Michelle Sanchez,,3m
I Watched TV Show and Died from Blood,No info,7.6,Michelle Sanchez,An arthouse film consisting of a spinning red triangle in 2019 San Marino.,11h 59m
Hanging on a Telephone,No info,No info,Michelle Sanchez,"A dejected man holed up in a motel room, aided by a phone sex operator, attempts reincarnating an absent lover. Ultimately blurring the lines between reality and fiction.",17m
Piercing Stillness,Arepo,No info,"Arepo, Alberto Bona, Federico Cicardi",A relaxing walk in the countryside unexpectedly turns into an existential mystery.,5m
The Forgotten,Daria Onyshchenko,6.3,"Claudia Lehmann, Daria Onyshchenko","A Ukrainian language schoolteacher and a rebellious teenage student, both from the eastern city of Luhansk, fall for each other during the tumultuous time of the city's occupation by pro-Russian separatists.",1h 45m
Bluefish,Kenneth Ross,No info,Kenneth Ross,,14m
Don Héctor,Alejandro Cervantes Polanco,No info,Alejandro Cervantes Polanco,"Don Hector, seeks to keep alive the memory of his wife by keeping alive her roses until he discovers that someone is stealing them, unveil his darkest and most hidden side.",18m
Kader Postasi,Çigdem BozaliElif Akarsu Polat,6.7,"Çigdem Bozali, Elif Akarsu Polat","The separation from her first love makes Zeynep into a lonesome woman; trying to find her lost love in letters she writes to prison inmates, she is led to one sentenced to life in prison.",1h 44m
La Hora Cero,Mariana ArriagaSantiago Arriaga,9.2,Guillermo Arriaga,"A couple travels to Cuba for a romantic getaway. Paula convinces Lorenzo to take a detour at the tobacco plantations in the Viñales region. On the way, their vehicle hits something. The accident will lead the couple into a moral conflict.",No info
Dear Deer,No info,No info,Guillermo Arriaga,,No info
