Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Jase Bond - La mort ne meurt jamais,Maxime Scharwath,No info,"Damien Moriggi, Olivia Borgeaud, Maximilien Zeraschi",,No info
Mercenarios en acción,Pablo Martínez,No info,"Torres Héctor, Martínez Pablo",,45m
Doodh Ka Karz,No info,No info,"Torres Héctor, Martínez Pablo",,No info
The Secret,Carlos Burley,No info,Carlos Burley,"Aiza is a hit-woman, hired by the worlds most elite criminals, but she is requested to do a job that she refuses to do and is ultimately set-up by the one person she least expected it from. That's when everything falls apart.",15m
Il vizio,Evis Nako,No info,Evis Nako,,24m
The Last Mission,Jaro Jääskeläinen,No info,Jaro Jääskeläinen,"The sins of the past return to haunt the man's life as his girlfriend is suddenly taken away in the middle of a beautiful summer day. As the life of the woman he loves is at stake, the man has no other choice but to return - for one last time - to his former employer's service. (a.k.a. The Last Mission: REDAX)",28m
Mc Mullin PD,James Bradford Huston,No info,"Patrick Dunne, Andres Evora, David Fong",A cop avenges his murdered partner and avoids death by killing death.,8m
Juara,Charles Gozali,7.7,"Thjai Edwin, Charles Gozali, Hilman Hariwijaya","Bisma, a teenager with natural martial arts talent, has a crush on Bella, a girl at his college. But her boyfriend, Attar, always annoys Bhishma, until a mysterious man trains him to fight back.",1h 46m
A Guy Walks Into a Bar,No info,No info,"Thjai Edwin, Charles Gozali, Hilman Hariwijaya",,No info
Shootout,Shailesh Leuva,No info,Shain Leuva,,No info
Nikki,Michael Peristeris,No info,Michael Peristeris,A desperate man who is in need of quick cash in order to help pay for his sister's medical bills takes an illegal chance to win the money he needs. He soon finds out that the price he will pay to get what he needs may be more than what he bargained for.,6m
Foreshadow,Julien TurnerJusten Turner,No info,Julien Turner,"After witnessing the shooting of a loved one on the streets, a young African-American vigilante is born.",17m
Once a Soja: Agubiri the Gateman,Nabwana I.G.G.,No info,Nabwana I.G.G.,,1h 4m
Kapitano,Nabwana I.G.G.,8.2,Nabwana I.G.G.,,1h 32m
The Ivory Trap: Akanawuusu,Nabwana I.G.G.,8.8,Nabwana I.G.G.,Solider Allan is forced to destroy a forest in order so save his family. He then try's to bring the people responsible for his family's capture to justice.,1h 19m
Osu 2,Vlad Rimburg,No info,Vlad Rimburg,,No info
Xue zhan Tong Luo Wan,Jiajun ChenHaobo Zhang,No info,"Jimmy Au, Norman Chu, Meiying Du",,1h 4m
Xue zhan Tong Luo Wan 2,Bowie Lau,No info,"Lap-Keung Shum, Yuenian Su",,No info
Ora,Ariel Otero,No info,Alecs Garxia,,No info
Akoran,Dinesh Ravi,No info,Dinesh,,2h 28m
The Worst Batman Fanfilm Ever... Period,No info,5.9,Dinesh,"Mr. Freeze, (Not Exactly) Batman and CIA collide in a plotless spoof of a fan film.",3m
Naptown Vice,Radomir JordanovicJacob Riehle,No info,Jacob Riehle,"Two detectives will stop at nothing to get their hands on 400 kilos of coke after their supply is challenged by a vice department investigation. They work with the local enforcer, the national importer, and the international dealer while evading their fellow officers.",30m
Laissez les Bons Temps Rouler,Mykel Shannon Jenkins,No info,Mykel Shannon Jenkins,Tormented CIA agent is lured back by his partner to try to put an end to a child trafficking ring.,No info
Warcraft: The Beginning,Duncan Jones,6.7,"Charles Leavitt, Duncan Jones","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",2h 3m
Maximum Ride,Jay Martin,3.6,"James Patterson, Angelique Hanus, Jesse Spears",A flock of winged children mount a rescue plan when wolf-boys abduct their youngest member and return her to the militarized institution that created them all.,1h 28m
The Legend of Tarzan,David Yates,6.2,"Adam Cozad, Craig Brewer, Edgar Rice Burroughs","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",1h 50m
The Young Messiah,Cyrus Nowrasteh,5.7,"Betsy Giffen Nowrasteh, Cyrus Nowrasteh, Anne Rice","Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",1h 51m
