Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Luis Alarcón,No info,4 wins & 1 nomination,"Actor, Special Effects, Producer","Estúpido Cupido, La fiera, Témpano"
Patricia Rivadeneira,No info,No info,Actress,"La Poseída, Vuelve Temprano, Sucupira: La Comedia"
Francisco Reyes,"July 6, 1954",1 win & 6 nominations,"Actor, Soundtrack","A Fantastic Woman, The Club, Cómplices"
Anthony Harrison,"January 9, 1961",2 wins,"Actor, Producer, Writer","Joe Finds Grace, The Mighty Ducks: Game Changers, Exuvia"
C. Ernst Harth,"February 2, 1970",2 wins,"Actor, Producer, Production Manager","Thir13en Ghosts, Scooby-Doo 2: Monsters Unleashed, Supernatural"
Ellie Harvie,"April 7, 1965",10 wins & 14 nominations,"Actress, Writer, Director","The New Addams Family, Wrongfully Accused, Love Happens"
John Goodman,"June 20, 1952",33 wins & 76 nominations total,"Actor, Producer, Soundtrack","10 Cloverfield Lane, Barton Fink, Argo"
Jeff Foxworthy,"September 6, 1958",3 wins & 12 nominations,"Actor, Writer, Producer","Blue Collar Comedy Tour: The Movie, Are You Smarter Than a 5th Grader?, Racing Stripes"
Kelsey Grammer,"February 21, 1955",29 wins & 65 nominations total,"Producer, Actor, Music Department","Cheers, Frasier, Transformers: Age of Extinction"
Steve Monroe,"October 30, 1972",No info,"Actor, Producer, Director","Promising Young Woman, Miss Congeniality, Crazy Ex-Girlfriend"
Gavin Wilde,No info,No info,Actor,No info
Landon Gordon,"November 30, 2009",No info,Actor,"Secrets of Sulphur Springs, Top Gun: Maverick, Coop and Cami Ask the World"
Michael Peña,"January 13, 1976",13 wins & 8 nominations,"Actor, Producer, Soundtrack","American Hustle, Crash, End of Watch"
Dax Shepard,"January 2, 1975",1 win & 3 nominations,"Podcaster, Actor, Producer","Armchair Expert with Dax Shepard, Hit and Run, Idiocracy"
Vincent D'Onofrio,"June 30, 1959",13 wins & 17 nominations total,"Actor, Producer, Director","Men in Black, The Cell, Full Metal Jacket"
Gladys Florence,No info,No info,"Director, Actress, Writer",No info
Gladys Rose,No info,No info,Actress,No info
Tom Troupe,No info,No info,"Actor, Writer","Kelly's Heroes, Star Trek, My Own Private Idaho"
Rosario Dawson,"May 9, 1979",16 wins & 61 nominations,"Actress, Producer, Director","Rent, The Lego Batman Movie, Sin City"
Nick Robinson,"March 22, 1995",2 wins & 16 nominations,"Actor, Producer, Soundtrack","Jurassic World, Everything, Everything, Boardwalk Empire"
Tip 'T.I.' Harris,"September 25, 1980",8 wins & 50 nominations,"Music Artist, Actor, Composer","Ant-Man, Ant-Man and the Wasp, Takers"
Greg Lindsay,No info,No info,"Actor, Writer, Producer","The Nice Guys, Blades of Glory, Las Vegas"
John Bobek,"May 22, 1982",No info,"Actor, Writer, Producer","A Series of Unfortunate Events, Stomping Ground, Happy Endings"
John Ducey,"January 21, 1969",No info,"Actor, Writer, Producer","I Believe in Santa, Bad Judge, The Suite Life Movie"
Victoria Crawford,No info,No info,"Actress, Additional Crew","Remnants, Folly of Man, In My Shoes"
Thomas Marino,No info,No info,"Actor, Producer","These Streets We Haunt, Lyrical Cafe, Introverts Anonymous"
Matt Williams,No info,1 nomination,"Actor, Writer, Director","These Streets We Haunt, Nashville, Everyday Yeti"
Abbi Lake O'Neill,No info,No info,"Reparto, Guion, Dirección","Surviving in L.A., Dating in L.A., The Ones"
Jay Huguley,No info,1 premio,Reparto,"12 años de esclavitud, Los ojos de Tammy Faye, True Detective"
Robert Walden,25 de septiembre de 1943,5 nominaciones en total,"Reparto, Dirección, Guion","Brothers, Todo lo que usted siempre quiso saber sobre el sexo* pero nunca se atrevió a preguntar, Todos los hombres del presidente"
Cary-Hiroyuki Tagawa,27 de septiembre de 1950,1 premio,"Reparto, Producción, Equipos adicionales","Mortal Kombat, El planeta de los simios, Tekken"
Quinton 'Rampage' Jackson,20 de junio de 1978,No info,"Reparto, Producción","El equipo A, El vagón de la muerte, Muere otra vez"
Hector Echavarria,6 de diciembre de 1969,No info,"Reparto, Producción, Guion","The Cello, Remember me, Sin salida"
Alexandra Daddario,16 de marzo de 1986,2 premios y 8 nominaciones en total,"Reparto, Producción, Banda sonora","Baywatch: Los vigilantes de la playa, La matanza de Texas 3D, Percy Jackson y el ladrón del rayo"
Takehiro Hira,27 de julio de 1974,1 nominación en total,Reparto,"Giri/Haji: Deber/Deshonor, Shōgun, Monarch: El legado de los monstruos"
Carice van Houten,5 de septiembre de 1976,26 premios y 20 nominaciones en total,"Reparto, Producción, Guion","Juego de tronos, El libro negro, Valkiria"
Takashi Hasegawa,No info,No info,Reparto,No info
Zofia Stafiej,21 de junio de 1999,2 premios y 2 nominaciones,Reparto,"I never cry (Yo nunca lloro), 25 lat niewinnosci. Sprawa Tomka Komendy, Stulecie Winnych"
Kinga Preis,31 de agosto de 1971,11 premios y 11 nominaciones,"Reparto, Banda sonora","The Lure, Cisza, W ciemnosci"
Arkadiusz Jakubik,14 de enero de 1969,6 premios y 6 nominaciones,"Reparto, Dirección, Guion","Cicha noc, Soy un asesino, Prosta historia o milosci"
Penelope Tsilika,No info,1 premio y 4 nominaciones,Reparto,"Little England, Crímenes del futuro, Kala azar"
Dimitris Lalos,No info,1 nominación,"Reparto, Dirección, Guion","Ageli provaton, Without, Sasmos"
Michele Valley,No info,No info,Reparto,"Canino, Dos chicas brillantes, Singapore sling: O anthropos pou agapise ena ptoma"
Vanessa Schaefer,No info,No info,Reparto,"Blurred Lines, Dive, Dreamers"
James Mackenzie,No info,No info,Reparto,No info
Emma Murphy,No info,No info,Reparto,"Wonderland, The Deal Breaker, Hear a No"
Marissa Meizz,No info,No info,"Reparto, Vestuario","Satisfaction, The Drew Barrymore Show, Chrysopoeia"
Catarina Sousa,No info,No info,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Untitled Story, Hunting Joy, Caged"
Ray Tezanos,No info,No info,"Reparto, Producción, Guion",No info
Dan Stevens,10 de octubre de 1982,6 premios y 26 nominaciones,"Reparto, Producción, Banda sonora","Downton Abbey, The Guest, La bella y la bestia"
Alison Brie,29 de diciembre de 1982,8 premios y 27 nominaciones,"Reparto, Producción, Guion","GLOW, Community, Una joven prometedora"
Sheila Vand,27 de abril,2 premios y 3 nominaciones,Reparto,"Una chica vuelve a casa sola de noche, Argo, We the Animals"
Travis Farris,No info,No info,"Reparto, Producción","Dead on Arrival, Rustlers, Violent Ends (II)"
Blake Webb,7 de marzo,1 nominación,Reparto,"Por trece razones, Good Trouble, Mentes criminales"
Elior Ilishah,No info,No info,"Reparto, Equipos adicionales","The Time and Place with John & Amir, No eXcape, Power Chord"
Effy Bashford,No info,No info,"Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección","The Darkest Corner, Demi, Just Remember"
Pippa Caddick,No info,No info,Reparto,"Witches of God, The Testing Point, The Big Question"
May Kelly,No info,No info,"Reparto, Producción","Mega Lightning, Pterodactyl, The Loch Ness Horror"
Jessie Crabbe,No info,No info,"Reparto, Casting, Equipos adicionales","The Valley of the Rats, We Married Too Young, Pneuma"
Darlene Henley,No info,No info,Reparto,No info
Marnie Mahannah,No info,1 premio y 1 nominación,"Reparto, Guion, Producción","So Help Me Todd, Round and Round, The Good Doctor"
Amy Argyle,21 de julio de 1979,1 premio y 1 nominación,"Reparto, Producción, Dirección","Frank & Lola, Sin rastro, The Lears"
Matthew Brady,No info,3 premios y 1 nominación,Reparto,"Hillbilly, una elegía rural, American Horror Story, MacGyver"
Piercey Dalton,No info,3 premios y 6 nominaciones,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Puertas abiertas, Interrogation, Bull"
Niels Arestrup,8 de febrero de 1949,6 premios y 8 nominaciones,"Reparto, Guion, Dirección","Un profeta, War Horse (Caballo de batalla), Diplomacia"
Patrick Bruel,14 de mayo de 1959,1 premio y 1 nominación,"Music Artist, Reparto, Composición","Sabrina (y sus amores), Le lait de la tendresse humaine, El nombre"
Irène Jacob,15 de julio de 1966,3 premios y 4 nominaciones en total,"Reparto, Equipo ejecutivo","La doble vida de Verónica, Tres colores: Rojo, Adiós, muchachos"
Robert Allen Cruz,No info,No info,"Reparto, Producción",No info
Bec Doyle,No info,No info,"Reparto, Dirección, Edición","American Satan, Christmas Tree Lane, Ballers"
Fabian Jaime,No info,No info,"Reparto, Producción, Guion","NCIS: Los Ángeles, Cold Case Files, Deep Undercover"
Jiiva,4 de enero de 1984,2 premios y 7 nominaciones,"Reparto, Producción","83, Raam, Ko"
Navdeep,26 de enero de 1986,No info,"Reparto, Composición","Aegan, Ala Vaikunthapurramuloo, Arindhum Ariyamalum"
Riya Suman,5 de septiembre de 1994,1 nominación,Reparto,"Top Gear, Majnu, Walking Talking Strawberry Icecream"
Luigi Cazzaniga,No info,No info,Reparto,"Il Mostro, Sei fratelli, Drop"
Cendrine Gourbin,No info,No info,"Reparto, Dirección, Guion","La boîte de Pandore, Quantum Trip, Rodin"
Jean Soubirou,No info,No info,Reparto,No info
Laetitia Dosch,1 de septiembre de 1980,7 premios y 3 nominaciones,"Reparto, Dirección, Guion","Bienvenida a Montparnasse, Le procès du chien, 9 meses"
Sergei Polunin,20 de noviembre de 1989,No info,"Reparto, Dirección, Guion","Asesinato en el Orient Express, Gorrión rojo, El cascanueces y los cuatro reinos"
Lou-Teymour Thion,No info,No info,Reparto,"Passion simple, Peur de rien, Mappemonde"
Andrianna Adebiyi,No info,No info,Reparto,No info
Ademola Adedoyin,No info,1 nominación,"Reparto, Producción","October 1, Knockout Blessing, The Bridge"
Twitch Badmus,No info,No info,Reparto,No info
Adrien Brody,14 de abril de 1973,16 premios y 42 nominaciones en total,"Reparto, Producción, Composición","El pianista, El gran hotel Budapest, El profesor (Detachment)"
Glenn Fleshler,5 de septiembre de 1968,1 nominación,Reparto,"Joker, Billions, Barry"
Richie Merritt,No info,No info,"Reparto, Banda sonora","White Boy Rick, Clean, Lola"
Kartik Aaryan,22 de noviembre de 1990,39 premios y 34 nominaciones,"Reparto, Producción","El estallido de la noticia, Luka Chuppi, SatyaPrem Ki Katha"
Sara Ali Khan,12 de agosto de 1995,15 premios y 29 nominaciones,Reparto,"Atrangi Re, Kedarnath, Simmba"
Randeep Hooda,20 de agosto de 1976,8 premios y 25 nominaciones,"Reparto, Producción, Dirección","Highway, Kick, Sultan"
Nicole Velasco Lockard,No info,No info,"Reparto, Casting","Ringolevio, Earlybird, Chicago Fire"
Meredith Johnston,No info,No info,"Reparto, Guion, Dirección","Wherever You Are, There You Go, Pink Moon, Pet Names"
Joshua Koopman,No info,3 premios y 2 nominaciones,"Reparto, Producción","How to Rob, Earlybird, Ringolevio"
Anta Fily Gaye,No info,No info,Reparto,No info
Jean-François Ogoubiyi,No info,No info,Reparto,"FBI, The Blacklist, Lupo"
Djaka Souaré,No info,4 premios y 7 nominaciones,"Reparto, Producción, Dirección","Cut Me If You Can, Jazz in Wakanda, Black Power"
Alena Yiv,30 de noviembre de 1979,2 premios y 4 nominaciones,"Reparto, Especialistas, Dirección de la segunda unidad o asistencia a dirección","Asia, Blue Natalie, The Last Caravan"
Shira Haas,11 de mayo de 1995,7 premios y 15 nominaciones en total,"Reparto, Banda sonora","Shtisel, Broken Mirrors, Unorthodox"
Tamir Mula,No info,No info,Reparto,"Fauda, Asia, Something To Live For"
Veronica Roy,No info,3 premios y 1 nominación,"Reparto, Guion, Producción","Balance of the Force, Eat the Pasta, Mentes criminales"
Traci Carr,No info,No info,"Reparto, Casting, Producción","Reunion of Champions, Fuzz & Malloy, Dracula in a Women's Prison"
Paul Doe,No info,No info,Reparto,No info
Clare Blackwood,No info,No info,"Reparto, Guion, Producción","L.A.R.P.D., Crit, Couples Therapy"
Andrew Bushell,No info,No info,"Reparto, Equipos adicionales","Jump, Darling, The Wedding Planners, Sucesor designado"
Samantha Wan,No info,1 premio y 6 nominaciones,"Reparto, Dirección, Guion","Second Jen, Private Eyes, Lady Ada's Secret Society"
Samit Gambhir,No info,No info,Reparto,"Happy New Year, Tandav, Breathe: Into the Shadows"
Vijay Kumar Dogra,No info,1 nominación,Reparto,"12th Fail, Talvar, Hindi Medium"
Vangelis Anastasiou,No info,No info,Reparto,"Before the Rooster Crows, Astoria, Monoi mazi"
Despina Antoniou,No info,No info,Reparto,No info
Spyros Dimou,No info,No info,Reparto,No info
Sorcha Groundsell,1998,1 premio,Reparto,"Far from the Apple Tree, The Innocents, The Harrowing"
Will Nash,No info,No info,"Reparto, Producción, Guion","Silentville, Cooking with Soul, An Island in Ruin"
Nina Yndis,No info,3 premios y 2 nominaciones,"Reparto, Producción, Equipos adicionales","Peaky Blinders, Who Goes There?, The Box"
Kyle Brookes,No info,4 premios y 1 nominación,"Reparto, Producción, Guion","A Light Through Coloured Glass, Once a Year on Blackpool Sands, Brontë"
Macaulay Cooper,No info,No info,Reparto,"Casualty, The Bay, A Light Through Coloured Glass"
Wendy Laurence James,No info,No info,Reparto,"Once a Year on Blackpool Sands, Wings, Dads"
Michael Ajao,No info,No info,Reparto,"Attack the Block, Última noche en el Soho, Testigo mudo"
Doyin Ajiboye,No info,1 premio,Reparto,"Dolapo Is Fine, The Following Events Are Based on a Pack of Lies, Chloe"
Amy Bowden,No info,1 premio,Reparto,"The Nest, Catherine Tate's Nan, Jekyll and Hyde"
Mia Gonzalez,No info,No info,Reparto,"Apolo 10 1/2: Una infancia espacial, Omniboat: A Fast Boat Fantasia, Just the Janitor"
Rajee Narinesingh,No info,No info,Reparto,"Regina, South Beach High, Bella Maddo"
Gabrielle Alexander,No info,3 premios y 4 nominaciones,"Reparto, Dirección, Producción","El Reggaetonero, Homemaker, Noman"
Aaron Schwartz,4 de enero de 1981,1 premio y 1 nominación,"Reparto, Guion, Producción","Pesos pesados, Somos los mejores, Gossip Girl"
Matthew Dennis Lewis,No info,5 premios,"Reparto, Guion, Producción","Entrevista con el vampiro, Gambito de dama, Godless"
Russell Dennis Lewis,No info,No info,"Reparto, Especialistas","Gambito de dama, Godless, Blue Bloods"
Ryan Phoenix,No info,No info,Reparto,"Wild West Chronicles, Ein Man Stande, Stranger Things"
Richard Phillis,No info,No info,Reparto,"Maggie Shayne's Embrace the Twilight, Crops, Cleanland"
Jessica Buchman,No info,No info,Reparto,No info
Blanca Suárez,21 de octubre de 1988,9 premios y 6 nominaciones,Reparto,"El bar, El internado, La piel que habito"
Javier Rey,25 de febrero de 1980,7 premios y 5 nominaciones,Reparto,"Fariña, Sin fin, Not the End"
Pablo Molinero,No info,1 premio y 3 nominaciones,"Reparto, Guion","La peste, El verano que vivimos, La mort de Guillem"
Laura Osma,No info,1 premio,Reparto,"El Suspiro del Silencio, Pimpinero, Sin Senos Sí Hay Paraíso"
Juan Carlos Velis,24 de agosto de 1973,1 nominación,"Reparto, Guion, Producción","El asesino (War), El lado siniestro de la luna, Una vida a lo grande"
Fernando Gaviria,No info,No info,"Reparto, Producción, Guion","Dos policías rebeldes II, Rumis, La Piñateria"
Aurea,No info,1 premio,"Reparto, Banda sonora","Nelo e Idália, A Escritora, Nazaré"
Dalila Carmo,24 de agosto de 1974,11 premios y 16 nominaciones,Reparto,"Florbela, Na Corda Bamba, Valor da Vida"
Catarina Lima,No info,1 nominación,"Reparto, Equipos adicionales","A Escritora, Doida por Ti, Rosa Fogo"
Tendaiishe Chitima,No info,No info,Reparto,"Gonarezhou: The Movie, Into Infinity, Cook Off"
Jackson Chivhanga,No info,No info,Reparto,No info
Charlene Mangweni,No info,No info,"Reparto, Equipos adicionales","Gonarezhou: The Movie, State of Malambia, Lord of Kush"
Andrea Riseborough,20 de noviembre de 1981,22 premios y 25 nominaciones en total,"Reparto, Producción, Banda sonora","Birdman o (La inesperada virtud de la ignorancia), Oblivion, Possessor Uncut"
Michael Landes,No info,1 nominación,"Reparto, Producción","Cruel Summer, La oferta, Cazadores de leyendas"
Shereen Reda,No info,4 premios,Reparto,"The Blue Elephant, Photocopy, Out of Order"
Ali Liebert,20 de agosto de 1981,6 premios y 6 nominaciones,"Reparto, Dirección, Producción","El canguro de Navidad, One of Us Is Lying, Family Law"
Vera Graziadei,6 de noviembre,19 premios y 4 nominaciones,"Dirección, Reparto, Guion","Peep Show, The Book of Vision, The Silent Canary"
Alex Feldman,19 de octubre,1 premio,"Reparto, Dirección, Producción","The Americans, Eternity Hill, Ley y orden"
Alejandra Meco,25 de mayo de 1990,No info,"Reparto, Guion y continuidad","El secreto de Puente Viejo, Acacias 38, The Aboves and the Belows"
Daria Krauzo,No info,No info,Reparto,"Sky Rojo, Mar de plástico, Nest of Vampires"
Rodrigo Recio,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Jaula, Cuerpo de élite, Ana Tramel. El juego"
Moritz Bleibtreu,13 de agosto de 1971,12 premios y 11 nominaciones,"Reparto, Producción, Dirección","Llamando a las puertas, El experimento, Im Juli"
Nadja Uhl,23 de mayo de 1972,13 premios y 15 nominaciones,"Reparto, Banda sonora","RAF Facción del ejército rojo, Operation Zucker, ZERV - Zeit der Abrechnung"
Emily Kusche,15 de enero de 2002,1 nominación,Reparto,"Sløborn, Das perfekte Geheimnis, Dogs of Berlin"
Michael Gandolfini,10 de mayo de 1999,No info,"Reparto, Guion, Producción","Santos criminales, Cherry, Paisaje con mano invisible"
Austin Abrams,2 de septiembre de 1996,1 premio,"Reparto, Producción, Banda sonora","Ciudades de papel, Revancha ya, Historias de miedo para contar en la oscuridad"
Jake Ryan,26 de agosto,1 nominación,Reparto,"Asteroid City, Eighth Grade, Moonrise Kingdom"
Monee Phillips,No info,No info,Reparto,"Da Neighborhood Dopemane, Too Little Too Late, Caught in A Trapp"
Marie Richards,No info,No info,"Reparto, Especialistas","Blinded by the Bag, Theme Night 2021, Sinthetic, the movie"
Robin Michelle Lee,No info,No info,Reparto,"The Angry Black Girl and Her Monster, Chronology, The Present"
Libby Wattis,No info,10 premios y 6 nominaciones,"Reparto, Producción",No info
Caroline Vella,No info,2 premios,Reparto,"Lavender, Emmerdale, Bikini Girls vs Dinosaurs"
John Shepard,No info,No info,Reparto,"Sneakers (Los fisgones), Juego de patriotas, Mirada de ángel"
Maggie Carr,No info,1 premio,Reparto,"The Place of the Skull, Back for Good, Conversations w/ My Ex"
Eamon McGee,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Producción","The Race, Rising Fear, Judy's Dead"
Kiara Advani,31 de julio de 1992,26 premios y 41 nominaciones,Reparto,"Shershaah, Guilty, Kabir Singh"
Taher Shabbir,7 de enero de 1987,No info,"Reparto, Dirección, Producción","Fan, Hundred, Guilty"
Akansha Ranjan Kapoor,18 de septiembre de 1993,1 premio y 1 nominación,Reparto,"Guilty, Monica O My Darling, Satyajit Ray"
Lucas Lacerda Albuquerque,No info,No info,Reparto,"Lovebug, Discover Indie Film, O Mundo Aqui Dentro"
Clei Grött,No info,No info,Reparto,"Submersos, Das Profundezas, Discover Indie Film"
Vanessa Sandre,No info,No info,"Reparto, Producción, Dirección","O Prazer é Todo Meu, Nuvem, Quito 2023"
Philippe Hédoux,No info,No info,Reparto,"Rendez-vous avec Diego, Le Poisson rouge, La Lettre"
Marine Roualdes,No info,1 nominación,Reparto,No info
Ieuan Coombs,No info,No info,"Reparto, Dirección, Guion","Newbie, The Next One, Older Gods"
Une Das Reich,No info,No info,Reparto,No info
Becky Fowler,No info,No info,Reparto,No info
Arabella Landrum,No info,No info,Reparto,"Antebellum, Easy Does It, Dark Circles"
Jena Malone,21 de noviembre de 1984,13 premios y 22 nominaciones,"Reparto, Producción, Música","The Neon Demon, Los juegos del hambre: Sinsajo - Parte 2, Contact"
Eric Lange,19 de febrero de 1973,2 premios y 3 nominaciones,"Reparto, Producción, Banda sonora","Fuga en Dannemora, Narcos, Perdidos"
Ethan Cockrill,No info,No info,"Reparto, Guion","Coyote, 32 Goldfish, Unknown Heavens"
Robert Brooks,No info,1 premio,"Dirección, Producción, Edición","Background Noise, It's Basic, Kevin Garnett: Anything Is Possible"
T.J. Hunt,No info,No info,"Arte, Producción, Equipos adicionales","Chinatowne Special with Rice, The Death and Resurrection of Void Star, The Librarians"
Elisa Volpatto,No info,1 premio y 1 nominación,Reparto,"Um animal menor, Mulher de Fases, Buenos días, Verônica"
Branca Messina,No info,2 premios y 1 nominación,Reparto,"Loop, Não Por Acaso, A Divisão"
Sílvia Lourenço,No info,8 premios y 5 nominaciones,"Reparto, Guion, Equipos adicionales","Contra Todos, Quanto Dura o Amor?, O Cheiro do Ralo"
Miyu Tomita,No info,5 nominaciones,"Reparto, Música, Banda sonora","Made in Abyss, Sabikui Bisco, Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~"
Mariya Ise,No info,4 nominaciones,"Reparto, Música, Banda sonora","Made in Abyss, The Promised Neverland, Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito"
Shiori Izawa,No info,1 nominación,"Reparto, Música, Banda sonora","Made in Abyss, Gakusen toshi asterisk, Witch Craft Works"
Ailish Symons,No info,1 premio,"Reparto, Producción, Dirección","The Widow, Coyote, Capture"
Jason Kavan,No info,No info,Reparto,"Emmerdale, Nice Mike, The Napoleon Complex"
Alice Baxter,No info,No info,Reparto,No info
Katie Boland,14 de febrero de 1988,16 premios y 8 nominaciones,"Reparto, Producción, Dirección","Lolz-ita, Long Story, Short, The Master"
Robert Woo,No info,1 premio,"Producción, Guion, Reparto","Un espía y medio, East of Hollywood, The Imitation Game"
Clark Moore,18 de julio de 1977,1 premio,"Reparto, Producción","Dahmer - Monstruo: La historia de Jeffrey Dahmer, Yellowstone, Women of the Movement (Serie de TV)"
Paul Thomas Arnold,2 de octubre,No info,Reparto,"The Real Bros of Simi Valley, Chicken Girls: College Years, Rosewood"
Brian Cutler,No info,No info,"Reparto, Producción, Dirección","Catalina Caper, Emergencia, Mork y Mindy"
